Milestone[6][obsoleteÂ source] (closing),Date of Record (closing)[6],Trading Days[6]
1000,"July 8, 1997",3143
2000,"January 11, 1999",381
3000,"November 18, 1999",217
4000,"February 8, 2000",55
5000,"January 6, 2017",4255
6000,"September 13, 2017",172
7000,"January 26, 2018",93
8000,"July 24, 2019",374
9000,"January 13, 2020",119
10000,"June 10, 2020",103
11000,"August 3, 2020",37
12000,"August 31, 2020",20
13000,"January 8, 2021",90
14000,"April 15, 2021",66
15000,"July 23, 2021",69
16000,"November 3, 2021",72
17000,"January 19, 2024",554
18000,"February 22, 2024",23
19000,"June 5, 2024",72
20000,"July 2, 2024",18
21000,"November 7, 2024",90
22000,"December 16, 2024",26
23000,"July 17, 2025",144
24000,"September 12, 2025",40
